Timing,Speed,Latency
17,2666, 12.750 
17,2800, 12.140 
17,2933, 11.590 
17,3000, 11.330 
17,3100, 10.970 
17,3200, 10.620 
17,3300, 10.300 
17,3333, 10.200 
17,3400, 10.010 
17,3466, 9.810 
17,3600, 9.440 
17,3733, 9.110 
17,3866, 8.790 
17,4000, 8.500 
17,4133, 8.230 
17,4200, 8.100 
17,4266, 7.970 
17,4333, 7.840 
17,4400, 7.720 
17,4500, 7.550 
17,4600, 7.390 
17,4800, 7.080 
18,2133, 16.880 
18,2200, 16.360 
18,2400, 15.010 
18,2666, 13.500 
18,2800, 12.860 
18,2933, 12.270 
18,3000, 12.010 
18,3100, 11.610 
18,3200, 11.250 
18,3300, 10.910 
18,3333, 10.800 
18,3400, 10.590 
18,3466, 10.390 
18,3600, 10.010 
18,3733, 9.640 
18,3866, 9.310 
18,4000, 9.010 
18,4133, 8.710 
18,4200, 8.570 
18,4266, 8.440 
18,4333, 8.300 
18,4400, 8.180 
18,4500, 8.010 
18,4600, 7.820 
18,4800, 7.500 
19,2133, 17.820 
19,2200, 17.270 
19,2400, 15.830 
19,2666, 14.250 
19,2800, 13.570 
19,2933, 12.960 
19,3000, 12.670 
19,3100, 12.260 
19,3200, 11.880 
19,3300, 11.520 
19,3333, 11.400 
19,3400, 11.180 
19,3466, 10.960 
19,3600, 10.560 
19,3733, 10.180 
19,3866, 9.830 
19,4000, 9.500 
19,4133, 9.190 
19,4200, 9.050 
19,4266, 8.910 
19,4333, 8.760 
19,4400, 8.630 
19,4500, 8.440 
19,4600, 8.260 
19,4800, 7.920 
20,2133, 18.750 
20,2200, 18.180 
20,2400, 16.670 
20,2666, 15.010 
20,2800, 14.290 
20,2933, 13.640 
20,3000, 13.330 
20,3100, 12.900 
20,3200, 12.500 
20,3300, 12.120 
20,3333, 12.010 
20,3400, 11.760 
20,3466, 11.540 
20,3600, 11.110 
20,3733, 10.720 
20,3866, 10.350 
20,4000, 10.010 
20,4133, 9.680 
20,4200, 9.520 
20,4266, 9.380 
20,4333, 9.230 
20,4400, 9.090 
20,4500, 8.880 
20,4600, 8.690 
20,4800, 8.330 
